ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05332	Graft-versus-host disease - Homo sapiens (human)	29	0.7391067350784307	2.0267418319487303	6.5238333066826506e-6	1.7664533261171485e-4	1.362873678643015e-4	1551	tags=62%, list=10%, signal=56%	7124/3120/3002/3118/3117/3122/3119/3113/3123/3115/3127/3135/3109/3108/941/3111/3553/942
hsa05330	Allograft rejection - Homo sapiens (human)	29	0.733022004304191	2.0100565849999406	1.0580151472833483e-5	2.6601523703124184e-4	2.0523902857075475e-4	3523	tags=83%, list=22%, signal=64%	7124/3120/3002/3118/3117/3122/3119/3113/3123/3115/3127/3135/3109/3108/941/3111/942/3592/3106/5551/3107/3112/3586/3105
hsa04612	Antigen processing and presentation - Homo sapiens (human)	58	0.6269776379967346	1.9494449915161387	1.4467337324403889e-5	3.3950018254601125e-4	2.6193494945236516e-4	3969	tags=62%, list=25%, signal=47%	7124/3120/3118/3117/3122/3119/972/10437/3113/3123/3115/3127/3135/3109/3108/3111/926/1520/4261/8625/920/925/3106/6890/6892/1508/3107/811/55080/3112/5720/3105/5721/5993/567/10197
hsa04110	Cell cycle - Homo sapiens (human)	155	0.5074698580178008	1.7336431304154152	1.7363119672285366e-5	3.8198863279027807e-4	2.94716110226949e-4	2201	tags=25%, list=14%, signal=21%	1029/991/995/8900/9232/7272/9212/9088/151648/898/9133/8318/1870/81620/701/157570/699/27127/113130/983/9700/10403/891/9319/57082/5347/4085/595/990/4171/23594/4998/1869/4173/1871/890/5111/1030
hsa04081	Hormone signaling - Homo sapiens (human)	135	-0.3836827072247573	-1.7634368287950775	2.1626566618530025e-5	4.477971441013276e-4	3.454894233796127e-4	1497	tags=30%, list=9%, signal=28%	5295/10411/4157/2847/109/111/196883/2788/2690/150/3717/5618/5592/3643/113/10681/3667/5179/9843/6751/2791/11069/3953/112/6777/4093/185/9630/2796/108/7066/2786/2784/5745/8471/2100/6753/7434/7200/269/155
hsa04514	Cell adhesion molecule (CAM) interaction - Homo sapiens (human)	139	0.509793847787593	1.727728620653027	2.3052570294247667e-5	4.5080581908751e-4	3.478107097026841e-4	2377	tags=41%, list=15%, signal=35%	9074/1365/10686/79679/9080/1364/1366/9071/53842/3120/149461/1525/3118/3117/3122/84189/3119/999/3113/3123/3897/3115/3127/3135/3695/3109/914/29851/3108/941/3111/926/23308/9076/942/57863/3385/6402/3696/1000/201633/4897/6404/5133/6382/1462/6693/100506658/6385/1493/920/925/5792/3689/3106/5819/23705
hsa05320	Autoimmune thyroid disease - Homo sapiens (human)	30	0.716799898618954	1.9719635508053261	3.21695983384212e-5	5.95984137638119e-4	4.5982029757964923e-4	3523	tags=80%, list=22%, signal=62%	3120/3002/3118/3117/3122/3119/3113/3123/3115/3127/3135/7253/3109/3108/941/3111/942/1493/3106/5551/3107/3112/3586/3105
hsa05321	Inflammatory bowel disease - Homo sapiens (human)	50	0.6267154250345447	1.905428233866595	6.157396544181903e-5	0.001083701791776015	8.361096359994374e-4	2310	tags=48%, list=15%, signal=41%	7124/3120/3118/3117/6097/3122/3119/3113/3123/50615/3561/3115/3127/3109/3108/3111/50943/51561/3553/2625/3592/3606/3595/3594
hsa04640	Hematopoietic cell lineage - Homo sapiens (human)	77	0.5591717925499883	1.7990269849643397	9.546929494594251e-5	0.001600247229570084	0.0012346405060678278	2272	tags=43%, list=14%, signal=37%	100133941/7124/909/3120/3118/3117/3122/3119/290/928/3113/3123/3115/917/3127/3568/3109/914/1380/3108/3111/3559/926/915/924/3553/2209/916/952/911/1438/920/925
hsa04020	Calcium signaling pathway - Homo sapiens (human)	197	-0.3164877347804221	-1.5574017649033596	1.2377965053162534e-4	0.0019804744085060054	0.001527997599864083	1872	tags=26%, list=12%, signal=24%	115/2668/8536/89832/53373/5256/4638/5255/7125/219931/1131/2774/109/5027/775/5335/1139/196883/113/9127/6263/4915/2264/56413/1909/5023/5153/4803/185/5159/57105/6262/4776/9630/80310/845/2252/57172/4916/8913/108/5350/5737/3270/3708/5137/2247/2277/5156/8912/155/2255
hsa04820	Cytoskeleton in muscle cells - Homo sapiens (human)	198	-0.3128594905985931	-1.5422707312649422	1.539730059829895e-4	0.0023564564393918396	0.0018180794299135603	1811	tags=29%, list=11%, signal=26%	114793/1287/7169/23353/8736/7125/9172/6444/6711/22795/482/1293/70/8557/7431/2273/1292/72/58/3679/1756/6383/4634/2200/25777/29767/57731/23224/56776/1291/57644/287/2274/255631/200539/7273/1286/4621/161176/1634/85301/1158/88/4811/825/8515/11155/8516/1674/477/171024/1288/1285/25802/4629/23345/3908
hsa04950	Maturity onset diabetes of the young - Homo sapiens (human)	11	0.8278935879441882	1.815109563835757	2.098322933187966e-4	0.002954438689928656	0.0022794413337368217	735	tags=55%, list=5%, signal=52%	3170/3174/6928/3171/4825/168620
hsa04925	Aldosterone synthesis and secretion - Homo sapiens (human)	85	-0.39477473818673586	-1.7300496147766025	2.0667459457564169e-4	0.002954438689928656	0.0022794413337368217	1872	tags=29%, list=12%, signal=26%	115/8536/1589/482/3949/949/109/111/775/196883/5587/113/112/5138/185/1583/57172/8913/108/477/3708/4929/3164/8912/6770
hsa04913	Ovarian steroidogenesis - Homo sapiens (human)	36	-0.5365619834025624	-1.956673317749263	2.7445880319041163e-4	0.0035781295823342552	0.002760638254312912	1872	tags=47%, list=12%, signal=42%	115/255189/654/1586/3949/949/109/111/196883/3643/113/112/100137049/1583/8681/108/6770
hsa05020	Prion disease - Homo sapiens (human)	233	0.43635635907799536	1.5166047918960452	2.673671268590594e-4	0.0035781295823342552	0.002760638254312912	4554	tags=51%, list=29%, signal=37%	7124/774/1535/347733/10382/6352/2903/10381/84790/100532726/2906/778/4715/147700/4701/9377/1340/1329/1349/4728/3553/4718/6261/4696/714/5691/1337/1537/4713/653361/1347/713/1351/7386/54539/29796/4726/4709/1536/516/27089/509/522/712/4694/5880/10376/4711/10383/51079/10105/518/56901/5690/10975/5714/5580/55967/4710/292/10213/4722/7388/4695/4706/514/6390/4729/7384/4708/54205/506/5693/5704/5686/4702/4697/11047/4704/8503/513/440567/5683/515/4712/7417/4725/4716/51807/517/4700/6392/90550/4717/5296/5603/7416/7277/1345/5694/5687/10476/1460/5692/4688/7419/126328/5879/4707/283106/3798/5688/5685/572/1457/5708/1327/203068
hsa04014	Ras signaling pathway - Homo sapiens (human)	198	-0.30660598102119085	-1.5114434587073493	3.209994675379573e-4	0.004035421877620034	0.0031134534821350745	2969	tags=30%, list=19%, signal=25%	4804/1956/11186/3551/2260/23179/2113/5922/3082/5966/100271927/8831/5921/2324/54331/5578/5338/4303/25/255189/10156/2549/8398/7010/2114/5295/22808/253959/5335/284/5063/2788/3643/10681/4915/2264/2791/10235/8844/5602/5337/25759/4803/5159/100137049/80310/10000/2252/8681/2786/2784/5924/2247/2277/3815/5156/51378/5320/5322/2255
hsa04145	Phagosome - Homo sapiens (human)	135	0.46697451959868985	1.5804377765955393	5.289283067647117e-4	0.00620609213270595	0.0047881930928173905	2923	tags=33%, list=18%, signal=27%	525/1311/3120/4973/3118/3117/3122/3119/1535/3113/347733/3123/10382/3115/10381/3127/84790/6441/3135/3109/3108/3111/1520/2209/155066/2214/653361/2213/4481/1536/9296/533/10376/10383/4842/3689/3106/527/6890/11151/83547/3107/2212/929/811
hsa04022	cGMP-PKG signaling pathway - Homo sapiens (human)	145	-0.33501112368912755	-1.562458670762241	5.707088208702711e-4	0.006277797029572983	0.004843515650806906	1505	tags=21%, list=9%, signal=19%	8654/482/4208/109/111/775/3764/196883/150/5592/3643/113/3779/3667/1909/112/486/5997/5138/10335/185/4776/10000/108/5350/477/3708/8471/2626/155
hsa04657	IL-17 signaling pathway - Homo sapiens (human)	77	0.5276673895077156	1.6976676675356546	9.393875951329468e-4	0.009185123152411037	0.0070866081738099485	1894	tags=25%, list=12%, signal=22%	4322/4312/6364/3934/6374/3627/7124/6354/4318/727897/6372/225689/6356/2919/6347/3553/9641/6278/4586
hsa04935	Growth hormone synthesis, secretion and action - Homo sapiens (human)	105	-0.36209085782001804	-1.5914818706434541	9.230783178358968e-4	0.009185123152411037	0.0070866081738099485	1283	tags=24%, list=8%, signal=22%	115/2353/5295/109/111/775/5335/196883/2690/3717/113/3667/6751/8835/5602/112/6777/5600/25759/6300/10000/108/3708/8471/6753
hsa00500	Starch and sucrose metabolism - Homo sapiens (human)	27	0.6585928009910953	1.7872368290445895	0.0010140022274725674	0.009646723893793074	0.00744274750179011	254	tags=15%, list=2%, signal=15%	276/277/278/80201
hsa05014	Amyotrophic lateral sclerosis - Homo sapiens (human)	317	0.398185239297188	1.4064919291838416	0.001180719968545953	0.010656754587901935	0.008222017594732952	5224	tags=47%, list=33%, signal=32%	7124/10718/2066/400916/1767/347733/10382/2903/10381/23225/84790/100532726/2906/4715/147700/116442/55567/4701/9377/1340/2876/27019/1329/1349/4728/4718/4696/5691/1337/1537/4713/1347/1351/637/7386/5216/54539/29796/4726/4709/55916/516/27089/509/145957/522/4694/598/10376/4711/10383/51079/4842/518/2882/56901/5690/10975/5714/55967/4710/5608/10213/4722/7388/4695/4706/514/6390/4729/7384/4708/54205/506/5693/5704/7494/5686/4702/4218/4697/11047/4704/513/440567/5683/515/10189/196385/4712/7157/10452/4725/4716/51807/79023/517/5217/4700/6392/311/90550/4717/201625/56000/29107/5606/5603/7416/7277/1345/5694/10280/5687/10476/5692/126328/5879/4707/3798/5688/2891/5685/8480/572/5708/1327/203068/79139/60/539/836/23636/6506/4698/56171/4731/10010/29982/56893/5682/5695/1350/6396/9688/5702/6391/7979
hsa05340	Primary immunodeficiency - Homo sapiens (human)	30	0.6435264396072755	1.7703834575451995	0.0014496939559918774	0.012757306812728523	0.009842658964365905	3789	tags=67%, list=24%, signal=51%	3561/973/29851/926/915/916/115650/29760/4261/8625/3932/920/925/6890/84876/100/7374/695/5788/5993
hsa04080	Neuroactive ligand-receptor interaction - Homo sapiens (human)	168	0.4396211690123403	1.5066960720141003	0.0015450282258992894	0.012986004385883442	0.010019106254658875	3183	tags=39%, list=20%, signal=32%	5173/5746/2556/5368/130576/51083/2567/6750/1134/283869/9568/10874/5731/79924/6019/4852/84634/1907/4922/23566/5031/134/2150/2569/64106/2568/55879/4986/2903/130574/2899/2906/7253/2914/5724/5021/1143/2359/887/10800/1813/53829/3001/5029/5644/2563/1138/5645/554/152/187/2561/7433/8698/706/2151/140/6869/7068/4828/4987/5734/2149/719/2743/1906
hsa05010	Alzheimer disease - Homo sapiens (human)	330	0.3906948902453858	1.3831501996808182	0.001549466432406547	0.012986004385883442	0.010019106254658875	4587	tags=43%, list=29%, signal=31%	7476/80326/7124/7477/347733/10382/2903/10381/84790/100532726/2906/55630/778/4715/147700/55851/4701/9377/1020/1340/50507/1329/1349/4728/3553/4718/25825/2597/23401/4696/5691/1337/1537/4713/8326/1347/7472/1351/637/7386/54539/29796/4726/4709/1536/7481/201266/2535/516/27089/509/522/4694/841/10376/4711/10383/51079/10105/4842/518/56901/5690/4893/10975/5714/55967/4710/292/10213/4722/7388/4695/4706/514/6390/4729/7384/4708/54205/506/5693/5704/7494/5686/4702/4697/11047/4704/8323/8503/513/440567/10313/823/5683/515/7475/4712/7417/8772/8325/4725/4716/51807/517/4700/6392/90550/4717/11211/5296/7416/7277/1345/5694/4311/5687/10476/1460/5692/7419/126328/4707/283106/57181/29985/3798/23236/5688/5685/572/51107/1457/64116/5708/1327/27173/203068/3028/91860/5610
hsa04072	Phospholipase D signaling pathway - Homo sapiens (human)	128	-0.3375648970364684	-1.5467051671656122	0.001736398937673417	0.01421424246653588	0.010966730132674215	1872	tags=25%, list=12%, signal=22%	115/255189/2549/8613/5295/10411/22808/109/56895/111/7248/5335/160851/196883/3643/113/8527/11069/112/5337/2846/25759/185/5159/100137049/80310/10000/8681/108/5737/3815/5156
hsa04659	Th17 cell differentiation - Homo sapiens (human)	96	0.4925044803213139	1.618837647657673	0.0020132348264076676	0.015747970197677756	0.01215004877691645	2610	tags=34%, list=16%, signal=29%	3120/3118/3117/6097/3122/3119/3113/3123/50615/3561/3560/3115/917/3127/3109/3108/3111/50943/3559/915/51561/3553/3556/4794/916/9466/5588/2625/3932/920/3594/6258/6772
hsa04658	Th1 and Th2 cell differentiation - Homo sapiens (human)	82	0.494564888731441	1.5956042677754056	0.0019779345406748384	0.015747970197677756	0.01215004877691645	2310	tags=34%, list=15%, signal=29%	3120/3118/864/3117/3122/3119/3113/3123/3561/10683/3560/3115/917/3127/3109/3108/3111/3559/915/4794/916/5588/2625/3592/3932/920/3595/3594
hsa04713	Circadian entrainment - Homo sapiens (human)	79	-0.38695695752936843	-1.682963273904795	0.0022364796328832623	0.016455553756297835	0.01269597149857907	1283	tags=27%, list=8%, signal=25%	109/111/775/196883/2788/5592/113/10681/51655/6263/2791/112/6262/8913/108/2786/2784/3708/5187/2892/8912
hsa04912	GnRH signaling pathway - Homo sapiens (human)	81	-0.3768911338884548	-1.6461176780550228	0.0021731830394997736	0.016455553756297835	0.01269597149857907	2351	tags=30%, list=15%, signal=25%	5598/5578/5338/817/1958/4216/4313/115/255189/109/111/775/196883/113/5602/112/5337/5600/6300/100137049/2796/8681/108/3708
hsa05140	Leishmaniasis - Homo sapiens (human)	69	0.5175241866617698	1.6452327291572768	0.0022439391485860683	0.016455553756297835	0.01269597149857907	2823	tags=36%, list=18%, signal=30%	7124/3120/3118/3117/3122/3119/1535/3113/3123/3115/3127/3109/3108/3111/5777/3553/2209/2214/653361/3592/1536/3689/6772/5579/2212
hsa04613	Neutrophil extracellular trap formation - Homo sapiens (human)	137	0.4566299014618863	1.5480975184444248	0.002360283997026932	0.016955509529662856	0.013081702926593951	3130	tags=34%, list=20%, signal=28%	8355/8364/8336/8329/8345/366/8969/6850/8970/1535/126961/333932/8365/5582/51284/85236/723790/8363/8347/2359/3013/8357/2209/8370/54145/3014/2214/653361/92815/3012/6404/554313/9734/1536/5880/10105/3689/8334/8351/51311/292/3020/5579/2212/3683/8503/128312
hsa03050	Proteasome - Homo sapiens (human)	43	0.5776101746142741	1.7145575221559695	0.0024585050932971154	0.01696850574197225	0.013091729908579064	5646	tags=74%, list=36%, signal=48%	5698/5691/5696/5690/5714/51371/10213/5693/5704/5686/11047/5683/5720/5699/5721/5694/5687/10197/5692/5688/5685/9491/5708/5682/5695/5702/7979/5701/5718/5707/5700/5710
hsa04650	Natural killer cell mediated cytotoxicity - Homo sapiens (human)	87	0.4945946070434323	1.6047076652741683	0.002434922668880357	0.01696850574197225	0.013091729908579064	3073	tags=38%, list=19%, signal=31%	7124/3002/6850/7305/10451/962/5582/2207/3135/10870/5777/4277/5881/2214/7409/637/8743/5880/3932/8797/3689/3106/4893/79465/4068/5579/5551/3383/7462/3107/3937/3683/8503
hsa05016	Huntington disease - Homo sapiens (human)	267	0.4018554443711134	1.409401990473396	0.0029168983315574623	0.019372607786947674	0.014946569405001496	5224	tags=49%, list=33%, signal=33%	774/1767/347733/10382/10381/84790/100532726/4715/147700/55567/4701/9377/1340/2876/27019/1329/1349/4728/4718/4696/5691/1337/1537/4713/1347/1351/7386/54539/29796/4726/4709/516/5441/27089/5440/509/522/4694/841/10376/4711/10383/51079/10105/518/2882/56901/5690/5438/10975/5714/55967/4710/292/10213/4722/5439/7388/4695/4706/514/6390/4729/7384/4708/54205/506/5693/1175/5704/5686/4702/4697/11047/4704/513/440567/3766/5683/515/196385/4712/7417/7157/4725/4716/51807/517/4700/6392/4717/201625/7416/7277/5436/1345/5694/5687/10476/5692/5978/7419/126328/4707/3798/23236/5688/2891/5437/5435/5685/5708/1327/203068/7019/1173/539/836/6506/55081/4698/56171/4731/29982/5433/5682/5695/1350/5702/6391/7979
hsa01232	Nucleotide metabolism - Homo sapiens (human)	78	0.48940334120815543	1.5717566091519402	0.003637009100247342	0.023707911171982673	0.018291390796565582	4271	tags=41%, list=27%, signal=30%	7498/7083/6241/9615/954/7298/377841/129607/79077/4830/1890/122481/4860/51816/1841/205/132/1633/100/7371/4831/3704/353/3251/956/654364/158067/204/124583/1716/978/8833
hsa04270	Vascular smooth muscle contraction - Homo sapiens (human)	111	-0.33132510779845015	-1.455835392734154	0.0037391457308121145	0.023930532677197535	0.018463150211474173	1872	tags=24%, list=12%, signal=22%	115/255189/4638/8398/54776/59/109/111/775/800/196883/72/5592/113/3779/1909/112/10335/185/100137049/4660/8681/108/3708/4629/5320/5322
hsa04970	Salivary secretion - Homo sapiens (human)	73	0.4949600839731603	1.5826226118454427	0.004033733574004092	0.025354896750882865	0.019562091392726612	1894	tags=26%, list=12%, signal=23%	276/1469/277/1473/278/362/114/1755/4025/478/491/727897/3783/4069/5582/55503/5593/952/4586
hsa04670	Leukocyte transendothelial migration - Homo sapiens (human)	103	0.4629752515312669	1.5263582410957544	0.005140415075377905	0.03174431765847408	0.0244917283369806	3081	tags=31%, list=19%, signal=25%	9074/1365/10686/9080/1364/1366/9071/53842/4318/1496/149461/1535/10451/5582/29895/7852/7070/9076/653361/7409/7294/1536/100506658/5880/3689/399/5579/3383/3683/8503/81/103910
hsa04973	Carbohydrate digestion and absorption - Homo sapiens (human)	35	0.5579353844990502	1.5996557704340546	0.00579473806042402	0.034571996563885675	0.02667337055467256	486	tags=17%, list=3%, signal=17%	276/277/278/80201/478/6523
hsa04724	Glutamatergic synapse - Homo sapiens (human)	92	-0.34003450137365065	-1.5055053162591117	0.005715924435299833	0.034571996563885675	0.02667337055467256	1290	tags=24%, list=8%, signal=22%	2900/109/111/775/196883/2788/1742/2752/113/10681/2791/112/5337/100137049/7220/8681/108/2786/2784/3708/2892/6512
hsa04917	Prolactin signaling pathway - Homo sapiens (human)	59	-0.3840823686074734	-1.5630692706452927	0.0062569997550340085	0.03670773189619951	0.0283211567859434	1842	tags=22%, list=12%, signal=20%	2353/5295/1586/3717/5618/8835/5602/6777/5600/25759/6300/10000/2100
hsa05415	Diabetic cardiomyopathy - Homo sapiens (human)	180	0.4107807999566657	1.4113978339889492	0.00737481788681074	0.04255632616651443	0.032833529159571544	4215	tags=48%, list=27%, signal=35%	4318/1535/5582/100532726/7137/4715/6513/4701/9377/1340/1329/1349/4728/5499/4718/2597/4696/1337/1537/4713/653361/1347/1351/7386/54539/29796/4726/4709/5590/1536/516/27089/509/522/4694/5880/4711/51079/10105/518/1636/56901/10975/5580/55967/816/4710/1509/292/4722/5579/7388/4695/4706/514/6390/4729/7384/4708/506/4702/4697/4704/8503/513/440567/515/4712/7417/4725/4716/517/4700/6392/4717/5296/5603/7416/1345/10476/4688/7419/126328/5879/4707/142
hsa04530	Tight junction - Homo sapiens (human)	150	0.4308305792224264	1.4675822807047794	0.007736105432570844	0.043918453862399204	0.03388445303976972	4747	tags=45%, list=30%, signal=32%	9074/1365/10686/9080/27134/1364/1366/9071/92359/53842/79784/909/1080/153562/149461/91862/5521/84790/595/84612/9076/9368/10095/57530/653857/911/5590/5584/100506658/5111/10376/3993/10092/10094/7454/4218/81/103910/10096/10627/81873/50848/51807/23513/7074/7430/2064/154796/4637/9223/7408/7277/23327/10097/5879/137075/10093/998/9181/10109/57180/140465/1019/60/5581/861/10552
hsa04926	Relaxin signaling pathway - Homo sapiens (human)	115	-0.3092151912149756	-1.3583824289713822	0.007860405094690767	0.043918453862399204	0.03388445303976972	1896	tags=23%, list=12%, signal=21%	4313/115/2353/1287/59/5295/109/3640/111/196883/2788/113/10681/2791/5602/112/5600/1286/25759/6300/10000/108/2786/2784/1288/1285/2277
hsa04371	Apelin signaling pathway - Homo sapiens (human)	122	-0.30400252707684233	-1.3722398330825156	0.009087664490288807	0.049982154696588434	0.038562786817343944	2388	tags=25%, list=15%, signal=21%	54331/5565/5054/10014/4088/1958/115/4638/59/643246/22808/4208/109/111/196883/2788/4634/113/10681/6263/2791/112/10365/185/6262/10000/108/2786/2784/3708
