Description	Direction
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	Up
REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	Up
REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES	Up
REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	Up
REACTOME_KINESINS	Up
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	Up
REACTOME_HIV_INFECTION	Up
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	Up
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	Up
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	Up
REACTOME_UBIQUITIN_DEPENDENT_DEGRADATION_OF_CYCLIN_D	Up
REACTOME_VIF_MEDIATED_DEGRADATION_OF_APOBEC3G	Up
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6	Up
REACTOME_TELOMERE_MAINTENANCE	Up
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Up
REACTOME_KERATINIZATION	Up
REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	Up
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	Up
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	Up
REACTOME_SOMITOGENESIS	Up
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	Up
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	Up
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	Up
REACTOME_SCF_BETA_TRCP_MEDIATED_DEGRADATION_OF_EMI1	Up
REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	Up
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	Up
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	Up
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	Up
REACTOME_FBXL7_DOWN_REGULATES_AURKA_DURING_MITOTIC_ENTRY_AND_IN_EARLY_MITOSIS	Up
REACTOME_HH_MUTANTS_ABROGATE_LIGAND_SECRETION	Up
REACTOME_DNA_REPAIR	Up
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	Up
REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS	Up
REACTOME_GASTRULATION	Up
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	Up
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	Up
REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY	Up
REACTOME_SARS_COV_INFECTIONS	Up
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	Up
REACTOME_METABOLISM_OF_NUCLEOTIDES	Up
REACTOME_HOMOLOGY_DIRECTED_REPAIR	Up
REACTOME_INTERFERON_SIGNALING	Up
REACTOME_CO_INHIBITION_BY_PD_1	Up
REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES	Up
REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING	Up
REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	Up
REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	Up
REACTOME_MITOTIC_G2_G2_M_PHASES	Up
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION	Up
REACTOME_UCH_PROTEINASES	Up
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	Up
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	Up
REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	Up
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	Up
REACTOME_DNA_METHYLATION	Up
REACTOME_SIGNALING_BY_ROBO_RECEPTORS	Up
REACTOME_ABC_TRANSPORTER_DISORDERS	Up
REACTOME_DEGRADATION_OF_DVL	Up
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	Up
REACTOME_MITOTIC_PROPHASE	Up
REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION	Up
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	Up
REACTOME_G0_AND_EARLY_G1	Up
REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	Up
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	Up
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	Down
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	Up
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	Up
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	Up
REACTOME_CLEC7A_DECTIN_1_SIGNALING	Up
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	Up
REACTOME_REGULATION_OF_APOPTOSIS	Up
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	Up
REACTOME_MEIOTIC_RECOMBINATION	Up
REACTOME_STABILIZATION_OF_P53	Up
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS	Up
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR	Up
REACTOME_DNA_STRAND_ELONGATION	Up
REACTOME_SIGNALING_BY_INTERLEUKINS	Up
REACTOME_RRNA_PROCESSING	Up
REACTOME_INITIATION_OF_NUCLEAR_ENVELOPE_NE_REFORMATION	Up
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	Up
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX1	Up
REACTOME_DEGRADATION_OF_AXIN	Up
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	Up
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	Up
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS	Up
REACTOME_HCMV_EARLY_EVENTS	Up
REACTOME_BASE_EXCISION_REPAIR	Up
REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP	Up
REACTOME_INTERFERON_GAMMA_SIGNALING	Up
REACTOME_PROGRAMMED_CELL_DEATH	Up
REACTOME_CHROMATIN_MODIFICATIONS_DURING_THE_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	Up
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2	Up
REACTOME_PROTEIN_UBIQUITINATION	Up
REACTOME_INFLUENZA_INFECTION	Up
REACTOME_SIGNALING_BY_WNT	Up
REACTOME_PHOSPHORYLATION_OF_CLOCK_ACETYLATION_OF_BMAL1_ARNTL_AT_TARGET_GENE_PROMOTERS	Down
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	Down
REACTOME_APOPTOSIS	Up
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	Up
REACTOME_UNWINDING_OF_DNA	Up
REACTOME_REPLACEMENT_OF_PROTAMINES_BY_NUCLEOSOMES_IN_THE_MALE_PRONUCLEUS	Up
REACTOME_MAPK6_MAPK4_SIGNALING	Up
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	Up
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	Up
REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX	Up
REACTOME_PKR_MEDIATED_SIGNALING	Up
REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX	Up
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	Up
REACTOME_PRC2_METHYLATES_HISTONES_AND_DNA	Up
REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS	Up
REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES	Up
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	Up
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	Up
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	Up
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	Up
REACTOME_PCP_CE_PATHWAY	Up
REACTOME_AMYLOID_FIBER_FORMATION	Up
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	Down
REACTOME_KEAP1_NFE2L2_PATHWAY	Up
REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE	Up
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES	Up
REACTOME_INTERLEUKIN_10_SIGNALING	Up
REACTOME_HCMV_INFECTION	Up
REACTOME_THE_CRY_PER_KINASE_COMPLEX_REPRESSES_TRANSACTIVATION_BY_THE_BMAL_CLOCK_ARNTL_CLOCK_COMPLEX	Down
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	Up
REACTOME_COMPLEMENT_CASCADE	Up
REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	Up
REACTOME_FORMATION_OF_PARAXIAL_MESODERM	Up
REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS	Up
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION	Up
REACTOME_REGULATION_OF_RAS_BY_GAPS	Up
REACTOME_HCMV_LATE_EVENTS	Up
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	Up
REACTOME_REPRODUCTION	Up
REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	Up
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	Up
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	Down
REACTOME_SIGNALING_BY_NOTCH	Up
REACTOME_NUCLEAR_ENVELOPE_NE_REASSEMBLY	Up
REACTOME_DAG_AND_IP3_SIGNALING	Down
REACTOME_EXTENSION_OF_TELOMERES	Up
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	Up
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	Up
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	Up
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	Up
REACTOME_HDACS_DEACETYLATE_HISTONES	Up
REACTOME_DEGRADATION_OF_CRY_AND_PER_PROTEINS	Up
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	Up
REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS	Up
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	Up
REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY	Down
REACTOME_G_PROTEIN_MEDIATED_EVENTS	Down
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	Up
REACTOME_DISEASES_OF_DNA_REPAIR	Up
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	Up
REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	Up
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	Down
REACTOME_GOLGI_CISTERNAE_PERICENTRIOLAR_STACK_REORGANIZATION	Up
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Up
REACTOME_MATERNAL_TO_ZYGOTIC_TRANSITION_MZT	Up
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES	Up
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_PIWI_INTERACTING_RNAS_PIRNAS	Up
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	Down
REACTOME_CGMP_EFFECTS	Down
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	Up
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	Up
REACTOME_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	Up
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	Up
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS	Up
REACTOME_TRNA_AMINOACYLATION	Up
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	Up
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY	Up
REACTOME_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_THE_HUMAN_SILENCING_HUB_HUSH_COMPLEX	Up
REACTOME_INTERLEUKIN_1_SIGNALING	Up
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	Up
REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_PHOSPHORYLATION	Up
REACTOME_RMTS_METHYLATE_HISTONE_ARGININES	Up
REACTOME_CELLULAR_SENESCENCE	Up
REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	Down
REACTOME_SARS_COV_1_HOST_INTERACTIONS	Up
REACTOME_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	Up
REACTOME_GENE_SILENCING_BY_RNA	Up
REACTOME_MEIOSIS	Up
REACTOME_PROLACTIN_RECEPTOR_SIGNALING	Down
REACTOME_MUSCLE_CONTRACTION	Down
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	Up
REACTOME_RUNX1_REGULATES_GENES_INVOLVED_IN_MEGAKARYOCYTE_DIFFERENTIATION_AND_PLATELET_FUNCTION	Up
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES_THROUGH_SYNTHESIS_DEPENDENT_STRAND_ANNEALING_SDSA	Up
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	Up
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_CREB	Down
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY	Up
REACTOME_CA_DEPENDENT_EVENTS	Down
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	Up
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY	Up
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	Up
REACTOME_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	Up
REACTOME_STIMULI_SENSING_CHANNELS	Down
REACTOME_LAGGING_STRAND_SYNTHESIS	Up
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	Up
REACTOME_DISEASES_OF_MITOTIC_CELL_CYCLE	Up
REACTOME_SIGNALING_BY_NOTCH4	Up
REACTOME_TRANSLATION_OF_SARS_COV_2_STRUCTURAL_PROTEINS	Up
REACTOME_REGULATION_OF_INSULIN_SECRETION	Down
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	Up
REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS	Up
REACTOME_TRNA_PROCESSING	Up
